🍄 Mycelia v7.3 loaded

======================================================================
🍄 MYCELIA FINAL TRAINING v8.0
   Stanford (30%) + FineWeb (70%) | No compression
======================================================================

📚 Loading tokenizer...
   Vocab: 151,643

🏗️ Building model...
   181,051,920 params on cuda:0

🔥 Scheduler: peak=3.00e-04 | min=1.00e-05 | warmup=100 | total=610,351

======================================================================
🏆 BEST CHECKPOINT
======================================================================
   ✅ Model loaded
   🔥 Warm-started input_pos

   📊 Resumed: step=1,219,000 | epoch=30 | loss=4.3306
   🏆 Best loss: 4.3306
   📈 Extended training plan: 2,327,649 total steps
   🚀 LR BURST: Injecting peak LR=3.00e-04 for 500 steps
   🔥 Scheduler reset: step=1219000 | LR=3.00e-04 | 📉 Annealing
   🚀 LR BURST ACTIVE: steps 1,219,000 → 1,219,500
   ✅ Optimizer restored

📖 Loading datasets...
   📥 Loading FineWeb chunks...
   📚 Loading 500 chunks...
      100 chunks (100,000,000 tokens, 0.40 GB)
      200 chunks (200,000,000 tokens, 0.80 GB)
      300 chunks (300,000,000 tokens, 1.20 GB)
      400 chunks (400,000,000 tokens, 1.60 GB)
      500 chunks (500,000,000 tokens, 2.00 GB)
   ✅ 500 arrays | 500,000,000 tokens | 2.00 GB
   ✅ Data ready

⏱️  Tracker: 8,192 tok/step | 10.0B total

======================================================================
🚀 EPOCH 31 — STEP 1,219,000
======================================================================

Training: 1219000it [00:00, ?it/s]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878

⏱️  Step 1,219,000 | 620371899 tok/s | 9.99/10.0 GB | 100.0% | ETA N/A | Elapsed 0:00:16

📊 Step 1,219,000 | Loss: 5.0158 | LR: 3.00e-04 | 📉 Annealing 🚀 BURST
   Coherence: 0.9486 📈
   Friction: 🟢 HARMONIZED | early=0.85 late=1.78 Δ=-0.93
Training: 1219001it [00:16, 16.29s/it]   FCA: α_attn_eff=1.5375 α_ffn_eff=2.5371 φ_l=0.0368 scale=0.9878
Training: 1226300it [20:07,  7.34it/s]   FCA: α_attn_eff=1.5592 α_ffn_eff=2.5803 φ_l=0.0368 scale=0.9887
Training: 1226301it [20:07,  7.40it/s]   FCA: α_attn_eff=1.5592 α_ffn_eff=2.5803 φ_l=0.0368 scale=0.9887
Training: 1226302it [20:07,  7.48it/s]   FCA: α_attn_eff=1.5533 α_ffn_eff=2.5705 φ_l=0.0368 scale=0.9849
Training: 1226303it [20:07,  7.54it/s]   FCA: α_attn_eff=1.5592 α_ffn_eff=2.5803 φ_l=0.0368 scale=0.9887
Training: 1226304it [20:08,  6.46it/s]   FCA: α_attn_eff=1.5518 α_ffn_eff=2.5681 φ_l=0.0368 scale=0.9840
Training: 1226305it [20:08,  6.93it/s]   FCA: α_attn_eff=1.5577 α_ffn_eff=2.5779 φ_l=0.0368 scale=0.9878
Training: 1226306it [20:08,  7.14it/s]   FCA: α_attn_eff=1.5474 α_ffn_eff=2.5607 φ_l=0.0368 scale=0.9812
Training: 1226307it [20:08,  7.24it/s]   FCA: α_attn_eff=1.5488 α_ffn_eff=2.5631 φ_l=0.0368 scale=0.9821
Training: 1226308it [20:08,  7.37it/s]   FCA: α_attn_eff=1.5488 α_ffn_eff=2.5631 φ_l=0.0368 scale=0.9821
Training: 1226309it [20:08,  7.42it/s]   FCA: α_attn_eff=1.5533 α_ffn_eff=2.5705 φ_l=0.0368 scale=0.9849
Training: 1226310it [20:08,  7.48it/s]   FCA: α_attn_eff=1.5607 α_ffn_eff=2.5828 φ_l=0.0368 scale=0.9897
Training: 1226311it [20:09,  7.53it/s]   FCA: α_attn_eff=1.5577 α_ffn_eff=2.5779 φ_l=0.0368 scale=0.9878
Training: 1226312it [20:09,  6.46it/s]   FCA: α_attn_eff=1.5637 α_ffn_eff=2.5877 φ_l=0.0368 scale=0.9915
Training: 1226313it [20:09,  6.88it/s]   FCA: α_attn_eff=1.5563 α_ffn_eff=2.5755 φ_l=0.0368 scale=0.9868
Training: 1226314it [20:09,  7.09it/s]   FCA: α_attn_eff=1.5607 α_ffn_eff=2.5828 φ_l=0.0368 scale=0.9897
Training: 1226315it [20:09,  7.08it/s]   FCA: α_attn_eff=1.5489 α_ffn_eff=2.5632 φ_l=0.0368 scale=0.9821
Training: 1226316it [20:09,  7.15it/s]   FCA: α_attn_eff=1.5667 α_ffn_eff=2.5926 φ_l=0.0368 scale=0.9934
Training: 1226317it [20:09,  7.26it/s]   FCA: α_attn_eff=1.5311 α_ffn_eff=2.5337 φ_l=0.0368 scale=0.9708
Training: 1226318it [20:10,  7.35it/s]   FCA: α_attn_eff=1.5459 α_ffn_eff=2.5583 φ_l=0.0368 scale=0.9802
Training: 1226319it [20:10,  7.45it/s]   FCA: α_attn_eff=1.5637 α_ffn_eff=2.5877 φ_l=0.0368 scale=0.9915
Training: 1226320it [20:10,  6.42it/s]   FCA: α_attn_eff=1.5592 α_ffn_eff=2.5804 φ_l=0.0368 scale=0.9887
Training: 1226321it [20:10,  6.87it/s]   FCA: α_attn_eff=1.5592 α_ffn_eff=2.5804 φ_l=0.0368 scale=0.9887
Training: 1226322it [20:10,  7.10it/s]   FCA: α_attn_eff=1.5488 α_ffn_eff=2.5632 φ_l=0.0368 scale=0.9821
Training: 1226323it [20:10,  7.28it/s]   FCA: α_attn_eff=1.5533 α_ffn_eff=2.5706 φ_l=0.0368 scale=0.9849
Training: 1226324it [20:10,  7.34it/s]   FCA: α_attn_eff=1.5711 α_ffn_eff=2.6000 φ_l=0.0368 scale=0.9962
Training: 1226325it [20:10,  7.40it/s]   FCA: α_attn_eff=1.5637 α_ffn_eff=2.5878 φ_l=0.0368 scale=0.9915
Training: 1226326it [20:11,  7.49it/s]   FCA: α_attn_eff=1.5563 α_ffn_eff=2.5755 φ_l=0.0368 scale=0.9868
Training: 1226327it [20:11,  7.54it/s]   FCA: α_attn_eff=1.5548 α_ffn_eff=2.5730 φ_l=0.0368 scale=0.9859
Training: 1226328it [20:11,  6.45it/s]   FCA: α_attn_eff=1.5651 α_ffn_eff=2.5902 φ_l=0.0368 scale=0.9925
Training: 1226329it [20:11,  6.87it/s]   FCA: α_attn_eff=1.5666 α_ffn_eff=2.5927 φ_l=0.0368 scale=0.9934
Training: 1226330it [20:11,  7.08it/s]   FCA: α_attn_eff=1.5681 α_ffn_eff=2.5951 φ_l=0.0368 scale=0.9944
Training: 1226331it [20:11,  7.25it/s]   FCA: α_attn_eff=1.5681 α_ffn_eff=2.5951 φ_l=0.0368 scale=0.9944
Training: 1226332it [20:11,  7.38it/s]   FCA: α_attn_eff=1.5607 α_ffn_eff=2.5829 φ_l=0.0368 scale=0.9897
Training: 1226333it [20:12,  7.43it/s]   FCA: α_attn_eff=1.5696 α_ffn_eff=2.5976 φ_l=0.0368 scale=0.9953
Training: 1226334it [20:12,  7.50it/s]   FCA: α_attn_eff=1.5518 α_ffn_eff=2.5681 φ_l=0.0368 scale=0.9840
Training: 1226335it [20:12,  7.55it/s]   FCA: α_attn_eff=1.5696 α_ffn_eff=2.5976 φ_l=0.0368 scale=0.9953
Training: 1226336it [20:12,  6.48it/s]   FCA: α_attn_eff=1.5636 α_ffn_eff=2.5878 φ_l=0.0368 scale=0.9915
Training: 1226337it [20:12,  6.93it/s]   FCA: α_attn_eff=1.5695 α_ffn_eff=2.5977 φ_l=0.0368 scale=0.9953
Training: 1226338it [20:12,  7.14it/s]   FCA: α_attn_eff=1.5502 α_ffn_eff=2.5657 φ_l=0.0368 scale=0.9831
Training: 1226339it [20:12,  7.27it/s]   FCA: α_attn_eff=1.5517 α_ffn_eff=2.5682 φ_l=0.0368 scale=0.9840
Training: 1226340it [20:13,  7.32it/s]   FCA: α_attn_eff=1.5488 α_ffn_eff=2.5633 φ_l=0.0368 scale=0.9821
Training: 1226341it [20:13,  7.37it/s]   FCA: α_attn_eff=1.5473 α_ffn_eff=2.5608 φ_l=0.0368 scale=0.9812
Training: 1226342it [20:13,  7.43it/s]   FCA: α_attn_eff=1.5695 α_ffn_eff=2.5977 φ_l=0.0368 scale=0.9953
Training: 1226343it [20:13,  7.49it/s]   FCA: α_attn_eff=1.5621 α_ffn_eff=2.5854 φ_l=0.0368 scale=0.9906
Training: 1226344it [20:13,  6.45it/s]   FCA: α_attn_eff=1.5458 α_ffn_eff=2.5584 φ_l=0.0368 scale=0.9802
Training: 1226345it [20:13,  6.90it/s]   FCA: α_attn_eff=1.5547 α_ffn_eff=2.5732 φ_l=0.0368 scale=0.9859
Training: 1226346it [20:13,  7.09it/s]   FCA: α_attn_eff=1.5754 α_ffn_eff=2.6075 φ_l=0.0368 scale=0.9991
Training: 1226347it [20:14,  7.22it/s]   FCA: α_attn_eff=1.5636 α_ffn_eff=2.5879 φ_l=0.0368 scale=0.9915
Training: 1226348it [20:14,  7.34it/s]   FCA: α_attn_eff=1.5561 α_ffn_eff=2.5756 φ_l=0.0368 scale=0.9868
Training: 1226349it [20:14,  7.38it/s]   FCA: α_attn_eff=1.5621 α_ffn_eff=2.5854 φ_l=0.0368 scale=0.9906
Training: 1226350it [20:14,  7.43it/s]   FCA: α_attn_eff=1.5606 α_ffn_eff=2.5830 φ_l=0.0368 scale=0.9897
Training: 1226351it [20:14,  7.48it/s]   FCA: α_attn_eff=1.5710 α_ffn_eff=2.6002 φ_l=0.0368 scale=0.9962
Training: 1226352it [20:14,  6.45it/s]   FCA: α_attn_eff=1.5487 α_ffn_eff=2.5634 φ_l=0.0368 scale=0.9821
Training: 1226353it [20:14,  6.86it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5879 φ_l=0.0368 scale=0.9915
Training: 1226354it [20:15,  7.04it/s]   FCA: α_attn_eff=1.5532 α_ffn_eff=2.5708 φ_l=0.0368 scale=0.9849
Training: 1226355it [20:15,  7.21it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5904 φ_l=0.0368 scale=0.9925
Training: 1226356it [20:15,  7.31it/s]   FCA: α_attn_eff=1.5695 α_ffn_eff=2.5978 φ_l=0.0368 scale=0.9953
Training: 1226357it [20:15,  7.39it/s]   FCA: α_attn_eff=1.5680 α_ffn_eff=2.5953 φ_l=0.0368 scale=0.9944
Training: 1226358it [20:15,  7.46it/s]   FCA: α_attn_eff=1.5739 α_ffn_eff=2.6051 φ_l=0.0368 scale=0.9981
Training: 1226359it [20:15,  7.48it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5904 φ_l=0.0368 scale=0.9925
Training: 1226360it [20:15,  6.45it/s]   FCA: α_attn_eff=1.5710 α_ffn_eff=2.6003 φ_l=0.0368 scale=0.9962
Training: 1226361it [20:16,  6.90it/s]   FCA: α_attn_eff=1.5665 α_ffn_eff=2.5929 φ_l=0.0368 scale=0.9934
Training: 1226362it [20:16,  7.12it/s]   FCA: α_attn_eff=1.5576 α_ffn_eff=2.5782 φ_l=0.0368 scale=0.9878
Training: 1226363it [20:16,  7.26it/s]   FCA: α_attn_eff=1.5576 α_ffn_eff=2.5782 φ_l=0.0368 scale=0.9878
Training: 1226364it [20:16,  7.35it/s]   FCA: α_attn_eff=1.5591 α_ffn_eff=2.5806 φ_l=0.0368 scale=0.9887
Training: 1226365it [20:16,  7.42it/s]   FCA: α_attn_eff=1.5546 α_ffn_eff=2.5733 φ_l=0.0368 scale=0.9859
Training: 1226366it [20:16,  7.46it/s]   FCA: α_attn_eff=1.5561 α_ffn_eff=2.5757 φ_l=0.0368 scale=0.9868
Training: 1226367it [20:16,  7.52it/s]   FCA: α_attn_eff=1.5695 α_ffn_eff=2.5978 φ_l=0.0368 scale=0.9953
Training: 1226368it [20:17,  6.47it/s]   FCA: α_attn_eff=1.5665 α_ffn_eff=2.5929 φ_l=0.0368 scale=0.9934
Training: 1226369it [20:17,  6.89it/s]   FCA: α_attn_eff=1.5546 α_ffn_eff=2.5733 φ_l=0.0368 scale=0.9859
Training: 1226370it [20:17,  7.09it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5905 φ_l=0.0368 scale=0.9925
Training: 1226371it [20:17,  7.23it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5880 φ_l=0.0368 scale=0.9915
Training: 1226372it [20:17,  7.36it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5905 φ_l=0.0368 scale=0.9925
Training: 1226373it [20:17,  7.42it/s]   FCA: α_attn_eff=1.5591 α_ffn_eff=2.5807 φ_l=0.0368 scale=0.9887
Training: 1226374it [20:17,  7.49it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5905 φ_l=0.0368 scale=0.9925
Training: 1226375it [20:17,  7.55it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5880 φ_l=0.0368 scale=0.9915
Training: 1226376it [20:18,  6.46it/s]   FCA: α_attn_eff=1.5620 α_ffn_eff=2.5856 φ_l=0.0368 scale=0.9906
Training: 1226377it [20:18,  6.91it/s]   FCA: α_attn_eff=1.5427 α_ffn_eff=2.5537 φ_l=0.0368 scale=0.9784
Training: 1226378it [20:18,  7.13it/s]   FCA: α_attn_eff=1.5561 α_ffn_eff=2.5758 φ_l=0.0368 scale=0.9868
Training: 1226379it [20:18,  7.29it/s]   FCA: α_attn_eff=1.5561 α_ffn_eff=2.5758 φ_l=0.0368 scale=0.9868
Training: 1226380it [20:18,  7.38it/s]   FCA: α_attn_eff=1.5531 α_ffn_eff=2.5709 φ_l=0.0368 scale=0.9849
Training: 1226381it [20:18,  7.46it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5881 φ_l=0.0368 scale=0.9915
Training: 1226382it [20:18,  7.52it/s]   FCA: α_attn_eff=1.5457 α_ffn_eff=2.5586 φ_l=0.0368 scale=0.9802
Training: 1226383it [20:19,  7.56it/s]   FCA: α_attn_eff=1.5324 α_ffn_eff=2.5365 φ_l=0.0368 scale=0.9718
Training: 1226384it [20:19,  6.49it/s]   FCA: α_attn_eff=1.5501 α_ffn_eff=2.5660 φ_l=0.0368 scale=0.9831
Training: 1226385it [20:19,  6.93it/s]   FCA: α_attn_eff=1.5516 α_ffn_eff=2.5685 φ_l=0.0368 scale=0.9840
Training: 1226386it [20:19,  7.09it/s]   FCA: α_attn_eff=1.5694 α_ffn_eff=2.5980 φ_l=0.0368 scale=0.9953
Training: 1226387it [20:19,  7.20it/s]   FCA: α_attn_eff=1.5620 α_ffn_eff=2.5857 φ_l=0.0368 scale=0.9906
Training: 1226388it [20:19,  7.30it/s]   FCA: α_attn_eff=1.5487 α_ffn_eff=2.5636 φ_l=0.0368 scale=0.9821
Training: 1226389it [20:19,  7.40it/s]   FCA: α_attn_eff=1.5487 α_ffn_eff=2.5636 φ_l=0.0368 scale=0.9821
Training: 1226390it [20:20,  7.46it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5881 φ_l=0.0368 scale=0.9915
Training: 1226391it [20:20,  7.47it/s]   FCA: α_attn_eff=1.5694 α_ffn_eff=2.5980 φ_l=0.0368 scale=0.9953
Training: 1226392it [20:20,  6.40it/s]   FCA: α_attn_eff=1.5590 α_ffn_eff=2.5808 φ_l=0.0368 scale=0.9887
Training: 1226393it [20:20,  6.85it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5907 φ_l=0.0368 scale=0.9925
Training: 1226394it [20:20,  7.07it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5907 φ_l=0.0368 scale=0.9925
Training: 1226395it [20:20,  7.17it/s]   FCA: α_attn_eff=1.5694 α_ffn_eff=2.5980 φ_l=0.0368 scale=0.9953
Training: 1226396it [20:20,  7.31it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5882 φ_l=0.0368 scale=0.9915
Training: 1226397it [20:21,  7.35it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5882 φ_l=0.0368 scale=0.9915
Training: 1226398it [20:21,  7.45it/s]   FCA: α_attn_eff=1.5664 α_ffn_eff=2.5931 φ_l=0.0368 scale=0.9934
Training: 1226399it [20:21,  7.51it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5882 φ_l=0.0368 scale=0.9915
Training: 1226400it [20:21,  6.46it/s]   FCA: α_attn_eff=1.5546 α_ffn_eff=2.5735 φ_l=0.0368 scale=0.9859
Training: 1226401it [20:21,  6.89it/s]   FCA: α_attn_eff=1.5486 α_ffn_eff=2.5637 φ_l=0.0368 scale=0.9821
Training: 1226402it [20:21,  7.10it/s]   FCA: α_attn_eff=1.5724 α_ffn_eff=2.6030 φ_l=0.0368 scale=0.9972
Training: 1226403it [20:21,  7.24it/s]   FCA: α_attn_eff=1.5768 α_ffn_eff=2.6104 φ_l=0.0368 scale=1.0000
Training: 1226404it [20:22,  7.37it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5883 φ_l=0.0368 scale=0.9915
Training: 1226405it [20:22,  7.40it/s]   FCA: α_attn_eff=1.5471 α_ffn_eff=2.5613 φ_l=0.0368 scale=0.9812
Training: 1226406it [20:22,  7.46it/s]   FCA: α_attn_eff=1.5694 α_ffn_eff=2.5981 φ_l=0.0368 scale=0.9953
Training: 1226407it [20:22,  7.53it/s]   FCA: α_attn_eff=1.5605 α_ffn_eff=2.5834 φ_l=0.0368 scale=0.9897
Training: 1226408it [20:22,  6.49it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5884 φ_l=0.0368 scale=0.9915
Training: 1226409it [20:22,  6.93it/s]   FCA: α_attn_eff=1.5694 α_ffn_eff=2.5982 φ_l=0.0368 scale=0.9953
Training: 1226410it [20:22,  7.08it/s]   FCA: α_attn_eff=1.5575 α_ffn_eff=2.5785 φ_l=0.0368 scale=0.9878
Training: 1226411it [20:23,  7.25it/s]   FCA: α_attn_eff=1.5590 α_ffn_eff=2.5810 φ_l=0.0368 scale=0.9887
Training: 1226412it [20:23,  7.38it/s]   FCA: α_attn_eff=1.5605 α_ffn_eff=2.5834 φ_l=0.0368 scale=0.9897
Training: 1226413it [20:23,  7.43it/s]   FCA: α_attn_eff=1.5560 α_ffn_eff=2.5761 φ_l=0.0368 scale=0.9868
Training: 1226414it [20:23,  7.48it/s]   FCA: α_attn_eff=1.5560 α_ffn_eff=2.5761 φ_l=0.0368 scale=0.9868
Training: 1226415it [20:23,  7.53it/s]   FCA: α_attn_eff=1.5649 α_ffn_eff=2.5908 φ_l=0.0368 scale=0.9925
Training: 1226416it [20:23,  6.45it/s]   FCA: α_attn_eff=1.5590 α_ffn_eff=2.5811 φ_l=0.0368 scale=0.9887
Training: 1226417it [20:23,  6.88it/s]   FCA: α_attn_eff=1.5679 α_ffn_eff=2.5958 φ_l=0.0368 scale=0.9944
Training: 1226418it [20:24,  7.07it/s]   FCA: α_attn_eff=1.5620 α_ffn_eff=2.5860 φ_l=0.0368 scale=0.9906
Training: 1226419it [20:24,  7.24it/s]   FCA: α_attn_eff=1.5635 α_ffn_eff=2.5884 φ_l=0.0368 scale=0.9915
Training: 1226420it [20:24,  7.37it/s]   FCA: α_attn_eff=1.5546 α_ffn_eff=2.5737 φ_l=0.0368 scale=0.9859
Training: 1226421it [20:24,  7.41it/s]   FCA: α_attn_eff=1.5664 α_ffn_eff=2.5934 φ_l=0.0368 scale=0.9934
Training: 1226422it [20:24,  7.45it/s]   FCA: α_attn_eff=1.5739 α_ffn_eff=2.6056 φ_l=0.0368 scale=0.9981
Training: 1226423it [20:24,  7.45it/s]   FCA: α_attn_eff=1.5694 α_ffn_eff=2.5983 φ_l=0.0368 scale=0.9953
Training: 1226424it [20:24,  6.43it/s]   FCA: α_attn_eff=1.5620 α_ffn_eff=2.5861 φ_l=0.0368 scale=0.9906
Training: 1226425it [20:24,  6.89it/s]   FCA: α_attn_eff=1.5576 α_ffn_eff=2.5787 φ_l=0.0368 scale=0.9878
Training: 1226426it [20:25,  7.08it/s]   FCA: α_attn_eff=1.5665 α_ffn_eff=2.5934 φ_l=0.0368 scale=0.9934
Training: 1226427it [20:25,  7.21it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5910 φ_l=0.0368 scale=0.9925
Training: 1226428it [20:25,  7.34it/s]   FCA: α_attn_eff=1.5576 α_ffn_eff=2.5787 φ_l=0.0368 scale=0.9878
Training: 1226429it [20:25,  7.41it/s]   FCA: α_attn_eff=1.5546 α_ffn_eff=2.5738 φ_l=0.0368 scale=0.9859
Training: 1226430it [20:25,  7.43it/s]   FCA: α_attn_eff=1.5457 α_ffn_eff=2.5590 φ_l=0.0368 scale=0.9802
Training: 1226431it [20:25,  7.49it/s]   FCA: α_attn_eff=1.5457 α_ffn_eff=2.5590 φ_l=0.0368 scale=0.9802
Training: 1226432it [20:25,  6.44it/s]   FCA: α_attn_eff=1.5576 α_ffn_eff=2.5788 φ_l=0.0368 scale=0.9878
Training: 1226433it [20:26,  6.86it/s]   FCA: α_attn_eff=1.5591 α_ffn_eff=2.5812 φ_l=0.0368 scale=0.9887
Training: 1226434it [20:26,  7.06it/s]   FCA: α_attn_eff=1.5650 α_ffn_eff=2.5910 φ_l=0.0368 scale=0.9925
Training: 1226435it [20:26,  7.20it/s]   FCA: α_attn_eff=1.5591 α_ffn_eff=2.5812 φ_l=0.0368 scale=0.9887
Training: 1226436it [20:26,  7.33it/s]   FCA: α_attn_eff=1.5576 α_ffn_eff=2.5788 φ_l=0.0368 scale=0.9878
Training: 1226437it [20:26,  7.38it/s]   FCA: α_attn_eff=1.5695 α_ffn_eff=2.5984 φ_l=0.0368 scale=0.9953
Training: 1226438it [20:26,  7.42it/s]   FCA: α_attn_eff=1.5502 α_ffn_eff=2.5665 φ_l=0.0368 scale=0.9831
Training: 1226439it [20:26,  7.47it/s]   FCA: α_attn_eff=1.5680 α_ffn_eff=2.5960 φ_l=0.0368 scale=0.9944
Training: 1226440it [20:27,  6.39it/s]   FCA: α_attn_eff=1.5562 α_ffn_eff=2.5764 φ_l=0.0368 scale=0.9868
Training: 1226441it [20:27,  6.79it/s]   FCA: α_attn_eff=1.5606 α_ffn_eff=2.5838 φ_l=0.0368 scale=0.9897
Training: 1226442it [20:27,  6.97it/s]   FCA: α_attn_eff=1.5681 α_ffn_eff=2.5960 φ_l=0.0368 scale=0.9944
Training: 1226443it [20:27,  7.12it/s]   FCA: α_attn_eff=1.5636 α_ffn_eff=2.5887 φ_l=0.0368 scale=0.9915
Training: 1226444it [20:27,  7.27it/s]   FCA: α_attn_eff=1.5592 α_ffn_eff=2.5813 φ_l=0.0368 scale=0.9887
Training: 1226445it [20:27,  7.31it/s]   FCA: α_attn_eff=1.5606 α_ffn_eff=2.5838 φ_l=0.0368 scale=0.9897
Training: 1226446it [20:27,  7.39it/s]   FCA: α_attn_eff=1.5547 α_ffn_eff=2.5739 φ_l=0.0368 scale=0.9859
Training: 1226447it [20:28,  7.46it/s]   FCA: α_attn_eff=1.5755 α_ffn_eff=2.6083 φ_l=0.0368 scale=0.9991
Training: 1226448it [20:28,  6.40it/s]   FCA: α_attn_eff=1.5637 α_ffn_eff=2.5888 φ_l=0.0368 scale=0.9915
Training: 1226449it [20:28,  6.83it/s]   FCA: α_attn_eff=1.5548 α_ffn_eff=2.5740 φ_l=0.0368 scale=0.9859
Training: 1226450it [20:28,  7.04it/s]   FCA: α_attn_eff=1.5637 α_ffn_eff=2.5888 φ_l=0.0368 scale=0.9915
Training: 1226451it [20:28,  7.19it/s]   FCA: α_attn_eff=1.5533 α_ffn_eff=2.5716 φ_l=0.0368 scale=0.9849
Training: 1226452it [20:28,  7.32it/s]   FCA: α_attn_eff=1.5711 α_ffn_eff=2.6010 φ_l=0.0368 scale=0.9962
Training: 1226453it [20:28,  7.37it/s]   FCA: α_attn_eff=1.5622 α_ffn_eff=2.5863 φ_l=0.0368 scale=0.9906
Training: 1226454it [20:29,  7.47it/s]   FCA: α_attn_eff=1.5563 α_ffn_eff=2.5765 φ_l=0.0368 scale=0.9868
Training: 1226455it [20:29,  7.54it/s]   FCA: α_attn_eff=1.5667 α_ffn_eff=2.5937 φ_l=0.0368 scale=0.9934
Training: 1226456it [20:29,  6.47it/s]   FCA: α_attn_eff=1.5668 α_ffn_eff=2.5937 φ_l=0.0368 scale=0.9934
Training: 1226457it [20:29,  6.93it/s]   FCA: α_attn_eff=1.5668 α_ffn_eff=2.5937 φ_l=0.0368 scale=0.9934
Training: 1226458it [20:29,  7.14it/s]   FCA: α_attn_eff=1.5682 α_ffn_eff=2.5962 φ_l=0.0368 scale=0.9944
Training: 1226459it [20:29,  7.22it/s]   FCA: α_attn_eff=1.5608 α_ffn_eff=2.5839 φ_l=0.0368 scale=0.9897
Training: 1226460it [20:29,  7.33it/s]   FCA: α_attn_eff=1.5608 α_ffn_eff=2.5839 φ_l=0.0368 scale=0.9897
Training: 1226461it [20:30,  7.40it/s]   FCA: α_attn_eff=1.5593 α_ffn_eff=2.5815 φ_l=0.0368 scale=0.9887
Training: 1226462it [20:30,  7.49it/s]   FCA: α_attn_eff=1.5668 α_ffn_eff=2.5937 φ_l=0.0368 scale=0.9934
Training: 1226463it [20:30,  7.53it/s]   FCA: α_attn_eff=1.5623 α_ffn_eff=2.5864 φ_l=0.0368 scale=0.9906
Training: 1226464it [20:30,  6.46it/s]   FCA: α_attn_eff=1.5386 α_ffn_eff=2.5472 φ_l=0.0368 scale=0.9755
Training: 1226465it [20:30,  6.89it/s]   FCA: α_attn_eff=1.5550 α_ffn_eff=2.5742 φ_l=0.0368 scale=0.9859
Training: 1226466it [20:30,  7.08it/s]   FCA: α_attn_eff=1.5505 α_ffn_eff=2.5668 φ_l=0.0368 scale=0.9831
Training: 1226467it [20:30,  7.25it/s]   FCA: α_attn_eff=1.5653 α_ffn_eff=2.5914 φ_l=0.0368 scale=0.9925
Training: 1226468it [20:30,  7.38it/s]   FCA: α_attn_eff=1.5698 α_ffn_eff=2.5988 φ_l=0.0368 scale=0.9953
Training: 1226469it [20:31,  7.42it/s]   FCA: α_attn_eff=1.5564 α_ffn_eff=2.5767 φ_l=0.0368 scale=0.9868
Training: 1226470it [20:31,  7.47it/s]   FCA: α_attn_eff=1.5698 α_ffn_eff=2.5988 φ_l=0.0368 scale=0.9953
Training: 1226471it [20:31,  7.53it/s]   FCA: α_attn_eff=1.5653 α_ffn_eff=2.5914 φ_l=0.0368 scale=0.9925
Training: 1226472it [20:31,  6.44it/s]   FCA: α_attn_eff=1.5639 α_ffn_eff=2.5890 φ_l=0.0368 scale=0.9915
Training: 1226473it [20:31,  6.86it/s]   FCA: α_attn_eff=1.5669 α_ffn_eff=2.5940 φ_l=0.0368 scale=0.9934
Training: 1226474it [20:31,  7.09it/s]   FCA: α_attn_eff=1.5550 α_ffn_eff=2.5743 φ_l=0.0368 scale=0.9859
Training: 1226475it [20:31,  7.26it/s]   FCA: α_attn_eff=1.5610 α_ffn_eff=2.5841 φ_l=0.0368 scale=0.9897
Training: 1226476it [20:32,  7.39it/s]   FCA: α_attn_eff=1.5699 α_ffn_eff=2.5989 φ_l=0.0368 scale=0.9953
Training: 1226477it [20:32,  7.47it/s]   FCA: α_attn_eff=1.5580 α_ffn_eff=2.5792 φ_l=0.0368 scale=0.9878
Training: 1226478it [20:32,  7.51it/s]   FCA: α_attn_eff=1.5758 α_ffn_eff=2.6087 φ_l=0.0368 scale=0.9991
Training: 1226479it [20:32,  7.53it/s]   FCA: α_attn_eff=1.5713 α_ffn_eff=2.6013 φ_l=0.0368 scale=0.9962
Training: 1226480it [20:32,  6.46it/s]   FCA: α_attn_eff=1.5655 α_ffn_eff=2.5916 φ_l=0.0368 scale=0.9925
Training: 1226481it [20:32,  6.86it/s]   FCA: α_attn_eff=1.5699 α_ffn_eff=2.5990 φ_l=0.0368 scale=0.9953
Training: 1226482it [20:32,  7.06it/s]   FCA: α_attn_eff=1.5551 α_ffn_eff=2.5744 φ_l=0.0368 scale=0.9859
